Reason_ID,Vehicle_ID,Weather_Conditions,Light_Conditions,Road_Surface_Conditions,Speed_limit,Accident_Date,Pedestrian_Crossing-Human_Control,Accident_Severity
2980,192,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
125097,193,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
46701,194,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
108006,195,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
19578,196,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
59508,197,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
56446,198,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,2
48800,199,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
129592,200,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
114039,201,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
66800,202,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,2
106799,203,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
47057,204,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
61824,205,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
68207,206,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
125512,207,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
93019,208,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
87296,209,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,2
76748,210,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
85879,211,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
63961,212,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
94760,213,Fine without high winds,Daylight: Street light present,Dry,40,4/11/2020,None within 50 metres,3
49608,214,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,2
80520,215,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
23328,216,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
13560,217,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
119121,218,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
42917,219,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
52954,220,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
83112,221,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/11/2020,None within 50 metres,3
88574,222,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
111570,223,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
28662,224,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
27177,225,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
129585,226,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
35759,227,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
49475,228,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
78904,229,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/11/2020,None within 50 metres,3
29619,230,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/11/2020,None within 50 metres,3
77512,231,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,2
31631,232,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
38913,233,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
35366,234,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/11/2020,None within 50 metres,3
111817,235,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/11/2020,None within 50 metres,3
12259,236,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
19790,237,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
33260,238,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,2
107079,239,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
15174,240,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
23620,241,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
18128,242,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
105291,243,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
56451,244,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
102068,245,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
57995,246,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
146,247,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
18770,248,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
42774,249,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
13776,250,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/11/2020,None within 50 metres,3
103702,251,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
69826,252,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
57906,253,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
31358,254,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
92805,255,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
104375,256,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
109896,257,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
102955,258,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
44736,259,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
28135,260,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
55871,261,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,2
8818,262,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
86148,263,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
120162,264,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
117547,265,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
112385,266,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
19908,267,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,2
45098,268,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
43810,269,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
22981,270,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
68134,271,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,2
23518,272,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/11/2020,None within 50 metres,2
109188,273,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,2
1150,274,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,2
44586,275,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/11/2020,None within 50 metres,3
84299,276,Fine without high winds,Daylight: Street light present,Dry,30,4/11/2020,None within 50 metres,3
103793,277,Fine without high winds,Daylight: Street light present,Dry,30,4/12/2020,None within 50 metres,3
35032,278,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/12/2020,None within 50 metres,3
103291,279,Fine without high winds,Daylight: Street light present,Dry,30,4/12/2020,None within 50 metres,3
93909,280,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/12/2020,None within 50 metres,3
127925,281,Fine without high winds,Daylight: Street light present,Dry,30,4/12/2020,None within 50 metres,3
128097,282,Fine without high winds,Darkness: Street lights present and lit,Dry,30,4/13/2020,None within 50 metres,3
26149,283,Fine without high winds,Daylight: Street light present,Dry,30,4/13/2020,None within 50 metres,3
95886,284,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/13/2020,None within 50 metres,3
125425,285,Fine without high winds,Daylight: Street light present,Dry,30,4/13/2020,None within 50 metres,3
120078,286,Raining without high winds,Daylight: Street light present,Wet/Damp,30,4/13/2020,None within 50 metres,3
60625,287,Fine without high winds,Daylight: Street light present,Dry,30,4/14/2020,None within 50 metres,3
