Vehicle_ID,Vehicle_Name,Vehicle_Type,Color
109896,LEXUS,02 - Automobile,"BLUE, DARK"
102955,HOND,02 - Automobile,BLACK
44736,BUICK,02 - Automobile,SILVER
28135,ACURA,02 - Automobile,"GREEN, DK"
55871,CHEVROLET,02 - Automobile,BLACK
8818,SATU,02 - Automobile,SILVER
86148,SCION,02 - Automobile,MAROON
120162,FORD,02 - Automobile,RED
117547,HONDA,02 - Automobile,BLUE
112385,BUICK,02 - Automobile,WHITE
19908,MERCURY,02 - Automobile,WHITE
45098,MERCEDES,02 - Automobile,SILVER
43810,CHEV,02 - Automobile,WHITE
22981,CHEVY,02 - Automobile,GRAY
68134,FORD,02 - Automobile,GRAY
23518,MAZDA,02 - Automobile,BLUE
109188,DODGE,08 - Recreational Vehicle,"GREEN, DK"
1150,CHEV,02 - Automobile,RED
44586,CHEVY,02 - Automobile,WHITE
84299,BUIC,02 - Automobile,BLACK
103793,CHEVY,02 - Automobile,WHITE
35032,FORD,02 - Automobile,BLACK
103291,TOYOTA,02 - Automobile,GRAY
93909,CHEV,02 - Automobile,GRAY
127925,TOYOTA,02 - Automobile,BLACK
128097,NISSAN,02 - Automobile,BLUE
26149,TOYOTA,02 - Automobile,RED
95886,AUDI,02 - Automobile,GRAY
125425,HOND,02 - Automobile,GRAY
120078,FORD,02 - Automobile,GREEN
60625,FORD,02 - Automobile,MAROON
115031,FORD,02 - Automobile,SILVER
37077,TOYOTA,02 - Automobile,BLACK
69252,TOYOTA,02 - Automobile,SILVER
12194,ACURA,02 - Automobile,SILVER
80188,JEEP,02 - Automobile,SILVER
10430,HONDA,02 - Automobile,"BLUE, LIGHT"
21262,CHRYSLER,02 - Automobile,SILVER
55236,CHRY,02 - Automobile,"BLUE, DARK"
126917,TOYOTA,02 - Automobile,BLUE
112190,LINC,02 - Automobile,RED
16342,FORD,02 - Automobile,BLUE
2201,DODG,02 - Automobile,BLUE
53687,CHRYSLER,02 - Automobile,BLACK
47168,VOLK,02 - Automobile,GRAY
8782,RANGE ROVER,02 - Automobile,SILVER
75468,HYUN,02 - Automobile,SILVER
663,MAZDA,02 - Automobile,"BLUE, LIGHT"
74740,FORD,02 - Automobile,BLUE
117904,CHRYSLER,02 - Automobile,BLACK
59599,NISS,02 - Automobile,SILVER
29479,TOYOTA,02 - Automobile,RED
105096,HONDA,02 - Automobile,BLACK
94421,TOYOTA,02 - Automobile,BLUE
49058,TOYT,02 - Automobile,RED
47795,HONDA,02 - Automobile,BLACK
125451,TOYOTA,02 - Automobile,SILVER
96114,MAZD,02 - Automobile,SILVER
23241,TOYT,02 - Automobile,"GREEN, LGT"
106258,CHEVROLET,02 - Automobile,SILVER
64874,TOYOTA,02 - Automobile,"BLUE, LIGHT"
100136,MITS,02 - Automobile,BLACK
51774,ACUR,02 - Automobile,BLACK
124301,CHEVY,02 - Automobile,RED
36127,HOND,02 - Automobile,SILVER
121855,SUBA,02 - Automobile,SILVER
52648,HYUNDAI,02 - Automobile,GRAY
38803,MITSUBISHI,02 - Automobile,BLUE
39916,CHRY,02 - Automobile,BLACK
95301,NISSAN,02 - Automobile,SILVER
16505,TOYOTA,02 - Automobile,GOLD
63771,BMW,02 - Automobile,WHITE
51960,PLYMOUTH,02 - Automobile,"GREEN, DK"
111305,TOYOTA,02 - Automobile,BLUE
114340,FORD,02 - Automobile,RED
17379,CHRY,28 - Other,"BLUE, DARK"
65992,HOND,02 - Automobile,GRAY
104578,HOND,02 - Automobile,BLUE
7443,M BENZ,02 - Automobile,SILVER
67768,TOYOTA,02 - Automobile,WHITE
89581,FORD,02 - Automobile,SILVER
47417,TOYOTA,05 - Light Duty Truck,TAN
30231,BMW,02 - Automobile,BLACK
14343,CHEVROLET,02 - Automobile,WHITE
79924,DODGE,02 - Automobile,SILVER
105654,HONDA,02 - Automobile,"BLUE, LIGHT"
29495,HONDA,02 - Automobile,GREEN
98183,TOYT,02 - Automobile,GOLD
87554,FORD,02 - Automobile,RED
83683,NISSAN,02 - Automobile,RED
74603,FORD,02 - Automobile,RED
83191,TOYT,02 - Automobile,GRAY
110103,HOND,02 - Automobile,BLUE
57026,FORD,02 - Automobile,BLUE
91205,TOYT,02 - Automobile,SILVER
55470,TOYT,02 - Automobile,TAN
53922,GMC,05 - Light Duty Truck,BLACK
129138,TOYOTA,02 - Automobile,BLUE
2034,ACURA,02 - Automobile,SILVER
37286,TOYT,02 - Automobile,BLUE
32818,TOYT,02 - Automobile,BLACK
46695,HYUN,02 - Automobile,RED
121598,HONDA,02 - Automobile,BLUE
44039,KAW,01 - Motorcycle,BLACK
102733,ACUR,02 - Automobile,WHITE
85600,HONDA,02 - Automobile,WHITE
10833,TOYOTA,02 - Automobile,BLACK
81553,NISSAN,02 - Automobile,GOLD
24745,CHEVEROLET,02 - Automobile,SILVER
58871,2004,02 - Automobile,WHITE
68900,BMW,02 - Automobile,"GREEN, DK"
31952,CHRY,02 - Automobile,BLUE
98758,JEEP,02 - Automobile,WHITE
59963,TOYOTA,02 - Automobile,"GREEN, DK"
38236,SAAB,02 - Automobile,"BLUE, DARK"
43811,CHEV,02 - Automobile,GRAY
58215,BMW,02 - Automobile,BLACK
88293,TOYT,02 - Automobile,WHITE
37225,UNKNOWN,28 - Other,WHITE
43935,CHEV,05 - Light Duty Truck,RED
48899,HONDA,02 - Automobile,BLACK
99082,TOYT,02 - Automobile,RED
75859,TOYT,02 - Automobile,SILVER
85109,HYUN,05 - Light Duty Truck,BLACK
118135,SUBARU,03 - Station Wagon,ORANGE
89169,SUBARU,03 - Station Wagon,ORANGE
4988,SUBARU,03 - Station Wagon,ORANGE
81441,FORD,02 - Automobile,BLACK
37707,HYNDAI,02 - Automobile,GRAY
94317,TOYT,02 - Automobile,WHITE
42242,ACURA,02 - Automobile,GREEN
8085,FORD,05 - Light Duty Truck,MAROON
42926,JEEP,02 - Automobile,WHITE
114663,FORD,03 - Station Wagon,BLACK
63597,TOYT,02 - Automobile,
78220,TOYOTA,02 - Automobile,SILVER
2902,FORD,02 - Automobile,GREEN
71673,TOYOTA,02 - Automobile,BROWN
128042,TOYOTA,02 - Automobile,"GREEN, DK"
53847,CHEV,02 - Automobile,GRAY
42369,FORD,02 - Automobile,BLACK
110474,ACURA,02 - Automobile,RED
17284,TOYT,02 - Automobile,SILVER
69457,HONDA,02 - Automobile,GOLD
83974,TOYT,02 - Automobile,"BLUE, DARK"
107761,FORD,02 - Automobile,WHITE
37834,TOYOTA,02 - Automobile,GRAY
25904,DODGE,02 - Automobile,BLUE
73190,TOYT,28 - Other,GOLD
70160,MAZDA,02 - Automobile,GREEN
126642,TOYOTA,02 - Automobile,MAROON
76228,FORD,02 - Automobile,WHITE
18983,HYUNDAI,02 - Automobile,CREAM
42803,TOYOTA,02 - Automobile,GOLD
65527,ACURA,02 - Automobile,GOLD
5441,HYUN,02 - Automobile,GRAY
18473,ACURA,02 - Automobile,GOLD
98337,HONDA,02 - Automobile,GRAY
68782,FORD,02 - Automobile,RED
98247,JEEP,02 - Automobile,MAROON
67119,VOLKSWAGON,02 - Automobile,WHITE
91319,TOYOTA,02 - Automobile,GRAY
111275,INFINITY,01 - Motorcycle,GRAY
60787,HONDA,02 - Automobile,TAN
65894,TOYOTA,02 - Automobile,BLACK
67702,CHEV,02 - Automobile,BLUE
55982,DODGE,02 - Automobile,RED
38230,NISSAN,02 - Automobile,RED
48253,FORD,02 - Automobile,RED
89431,FORD,02 - Automobile,RED
117314,FORD,02 - Automobile,RED
14155,FORD,02 - Automobile,RED
123078,CHEVROLET,02 - Automobile,GRAY
50137,HOND,02 - Automobile,BEIGE
41799,MERC,02 - Automobile,BLUE
47037,ACURA,02 - Automobile,WHITE
115397,DODGE,02 - Automobile,BEIGE
35221,HOND,02 - Automobile,SILVER
52892,FORD,02 - Automobile,WHITE
90041,NISS,02 - Automobile,"BLUE, DARK"
26751,NISSAN,02 - Automobile,GOLD
66071,NISS,02 - Automobile,"BLUE, DARK"
33552,FORD,05 - Light Duty Truck,WHITE
107354,LINC,02 - Automobile,CREAM
83598,TOYOTA,02 - Automobile,TAN
117725,LINC,02 - Automobile,CREAM
34210,TOYOTA,02 - Automobile,BLACK
129245,TOYOTA,02 - Automobile,BLACK
16810,HONDA,02 - Automobile,SILVER
88356,MERZ,02 - Automobile,BLUE
3875,MERZ,02 - Automobile,WHITE
4749,LEXUS,02 - Automobile,WHITE
9559,TOYOTA,02 - Automobile,BLACK
112110,NEW FLYER,10 - Transit Bus,GREEN
114915,NEW FLYER,10 - Transit Bus,GREEN
66011,VOLKS,02 - Automobile,WHITE
60450,CHEV,02 - Automobile,GRAY
129469,CADI,05 - Light Duty Truck,BLACK
62153,FORD,02 - Automobile,BLACK
39499,CHEV,02 - Automobile,GREEN
19091,HONDA,02 - Automobile,GRAY
48260,MERCEDEZ,02 - Automobile,SILVER
96830,FORD,02 - Automobile,WHITE
126561,OLDSMOBILE,02 - Automobile,MAROON
69098,TOYOTA,03 - Station Wagon,SILVER
89178,FORD,02 - Automobile,SILVER
48501,HONDA,02 - Automobile,WHITE
109465,HONDA,02 - Automobile,WHITE
62274,HONDA,02 - Automobile,WHITE
98908,HYUNDAI,02 - Automobile,GOLD
17357,HYUNDAI,02 - Automobile,GOLD
115331,MERCURY,02 - Automobile,"GREEN, DK"
65150,CHEV,02 - Automobile,BLACK
42257,HONDA,02 - Automobile,"BLUE, LIGHT"
116136,FORD,02 - Automobile,RED
36244,TOYOTA,03 - Station Wagon,SILVER
109049,HONDA,02 - Automobile,SILVER
111496,HONDA,02 - Automobile,SILVER
8105,MERCEDES,02 - Automobile,BLACK
19478,HONDA,02 - Automobile,SILVER
79579,TOYT,02 - Automobile,SILVER
26935,CHEVROLET,02 - Automobile,SILVER
81010,MERC,02 - Automobile,BLACK
32348,CHEVROLET,02 - Automobile,SILVER
122747,NISSAN,02 - Automobile,GRAY
88118,HONDA,02 - Automobile,"BLUE, LIGHT"
5622,ACURA,02 - Automobile,GRAY
97335,MAZD,02 - Automobile,SILVER
72995,HYUNDAI,02 - Automobile,TAN
21707,NONE,29 - Unknown,N/A
120201,HYUNDAI,08 - Recreational Vehicle,GRAY
42929,NISSAN,02 - Automobile,SILVER
117511,MERZ,28 - Other,BLACK
125569,NISSAN,02 - Automobile,GRAY
128566,FORD,02 - Automobile,SILVER
16040,FORD,02 - Automobile,SILVER
27289,TOYT,02 - Automobile,BRONZE
61198,VOLKSWAGON,02 - Automobile,BLACK
120723,VOLKSWAGON,02 - Automobile,BLACK
73793,ACURA,02 - Automobile,GRAY
36093,NISS,02 - Automobile,SILVER
66777,FORD,02 - Automobile,BLACK
91068,HONDA,02 - Automobile,SILVER
120574,FORD,02 - Automobile,BLUE
30294,AUDI,02 - Automobile,WHITE
99081,MERZ,02 - Automobile,SILVER
12094,ACURA,02 - Automobile,"GREEN, DK"
11849,HONDA,02 - Automobile,RED
2671,TOYOTA,02 - Automobile,WHITE
55140,TOYOTA,02 - Automobile,WHITE
75362,HOND,02 - Automobile,GREEN
5763,PONTIAC,01 - Motorcycle,GRAY
12659,TOYT,02 - Automobile,SILVER
21207,JEEP,02 - Automobile,SILVER
45421,DODGE,02 - Automobile,BLACK
51952,AUDI,02 - Automobile,SILVER
80873,CHEVY,02 - Automobile,GREEN
119054,NISS,02 - Automobile,BEIGE
128651,CHRYSLER,02 - Automobile,BLUE
65790,FORD,02 - Automobile,BLACK
71834,JEEP,02 - Automobile,SILVER
94138,JEEP,02 - Automobile,SILVER
5255,HONDA,02 - Automobile,GREEN
115771,TOYT,02 - Automobile,WHITE
73967,HOND,02 - Automobile,BLACK
32801,TOYOTA,02 - Automobile,WHITE
36503,HONDA,02 - Automobile,SILVER
63315,HONDA,02 - Automobile,BLACK
51581,HARLEY DAVIDSON,01 - Motorcycle,SILVER
77979,TOYOTA,02 - Automobile,RED
117451,TOYOTA,02 - Automobile,SILVER
58912,FORD,02 - Automobile,"GREEN, LGT"
11244,VOLK,02 - Automobile,SILVER
122058,HONDA,02 - Automobile,BLACK
6133,HONDA,02 - Automobile,BLACK
63668,HONDA,02 - Automobile,BLACK
73903,FORD,02 - Automobile,"BLUE, DARK"
104087,FORD,02 - Automobile,"BLUE, DARK"
9170,CHEV,02 - Automobile,"BLUE, DARK"
105685,FORD,02 - Automobile,BLUE
115282,MITS,02 - Automobile,SILVER
16311,BMW,02 - Automobile,BLACK
77671,TOYOTA,02 - Automobile,SILVER
19381,SATURN,02 - Automobile,SILVER
94026,HONDA,02 - Automobile,GOLD
122163,TOYOTA,02 - Automobile,SILVER
7179,TOYOTA,02 - Automobile,BLACK
20625,CADI,02 - Automobile,BLACK
124273,JEEP,05 - Light Duty Truck,BLUE
1600,INFINITY,02 - Automobile,SILVER
23359,NONE,29 - Unknown,N/A
80613,FORD,02 - Automobile,BLUE
45303,FORD,02 - Automobile,SILVER
21580,FORD,28 - Other,WHITE
65318,HYUN,02 - Automobile,BLACK
52768,TOYT,02 - Automobile,BLUE
49507,JEEP,02 - Automobile,BLUE
121964,AUDI,02 - Automobile,BLACK
63942,DODG,02 - Automobile,"BLUE, DARK"
81471,HYUNDAI,02 - Automobile,BLUE
54997,PONT,02 - Automobile,BLACK
59017,CHRY,02 - Automobile,BLUE
112287,MAZDA,02 - Automobile,BLUE
97003,MERCEDES,02 - Automobile,BLACK
102913,LINCOLN,02 - Automobile,RED
21546,HONDA,02 - Automobile,BLACK
121044,JEEP,02 - Automobile,BLUE
126814,HOND,02 - Automobile,BLACK
1936,HOND,02 - Automobile,BLACK
17630,HOND,02 - Automobile,BLACK
82979,SCION,02 - Automobile,BLUE
9557,SCION,02 - Automobile,BLUE
76350,CHEV,02 - Automobile,WHITE
94609,VOLKSWAGON,02 - Automobile,WHITE
86573,HYUNDIA,02 - Automobile,SILVER
38421,CHRY,02 - Automobile,SILVER
12479,HONDA,02 - Automobile,RED
108382,VOLKSWAGON,02 - Automobile,BLUE
99249,NISSAN,02 - Automobile,RED
128013,SUBARU,03 - Station Wagon,"BLUE, LIGHT"
3468,MAZD,02 - Automobile,BLACK
71012,SUNNY,19 - Moped,RED
116293,TOYT,02 - Automobile,"BLUE, DARK"
103164,TOYT,02 - Automobile,SILVER
29908,FORD,02 - Automobile,WHITE
37280,LINCOLN,05 - Light Duty Truck,CREAM
90266,FORD,02 - Automobile,WHITE
63145,SUBA,02 - Automobile,BLACK
113897,GMC,02 - Automobile,BLACK
80519,HYUNDAI,02 - Automobile,BLACK
107210,TOYOTA,02 - Automobile,GRAY
48034,GRUMAN,05 - Light Duty Truck,WHITE
49907,SUBARU,02 - Automobile,WHITE
15360,TOYT,02 - Automobile,RED
107856,NISS,02 - Automobile,BLACK
96716,MITSUBISHI,02 - Automobile,RED
57625,TOYT,02 - Automobile,WHITE
87442,HYUNDAI,02 - Automobile,SILVER
115872,HONDA,02 - Automobile,SILVER
37667,HONDA,02 - Automobile,GREEN
102881,CHEVROLET,02 - Automobile,GOLD
107099,HONDA,02 - Automobile,BLACK
55791,NISSAN,02 - Automobile,BROWN
4388,MAZDA,02 - Automobile,SILVER
44731,HONDA,02 - Automobile,SILVER
102620,HOND,02 - Automobile,BEIGE
53749,BMW,02 - Automobile,SILVER
126263,MERZ,02 - Automobile,SILVER
18176,OLDS,02 - Automobile,WHITE
121318,FORD,05 - Light Duty Truck,WHITE
120225,DODGE,02 - Automobile,BLACK
60742,HUMMER,02 - Automobile,"BLUE, LIGHT"
82016,PONT,02 - Automobile,BLACK
58490,FORD,02 - Automobile,WHITE
100263,MERZ,02 - Automobile,GREEN
57121,CHRYSLER,02 - Automobile,WHITE
15260,LEXUS,02 - Automobile,WHITE
97911,TOYT,02 - Automobile,SILVER
115837,DODGE,02 - Automobile,BLACK
28457,HONDA,02 - Automobile,GRAY
104313,CADI,02 - Automobile,TAN
39072,SUBA,02 - Automobile,GREEN
128176,VOLKSWAGON,02 - Automobile,BLUE
112243,CHEVY,02 - Automobile,BLACK
24065,FORD,02 - Automobile,GRAY
12170,MERZ,02 - Automobile,GREEN
5803,CHEVY,02 - Automobile,MAROON
17005,CHEVROLET,02 - Automobile,BLACK
9072,MERZ,02 - Automobile,GREEN
56156,MITS,02 - Automobile,SILVER
49879,GMC,05 - Light Duty Truck,WHITE
78234,FORD,02 - Automobile,WHITE
23979,LNDR,02 - Automobile,GREEN
113199,FORD,02 - Automobile,WHITE
73887,HONDA,02 - Automobile,GRAY
68000,LEXUS,02 - Automobile,WHITE
69413,DODGE,02 - Automobile,SILVER
26761,SATURN,02 - Automobile,RED
64701,HONDA,02 - Automobile,WHITE
36377,INFI,02 - Automobile,SILVER
25233,PONT,02 - Automobile,SILVER
